filename,future,scientists say,The United States
Gerson_151.txt,1,0,2
Gerson_61.txt,1,0,0
Gibson_436.txt,1,0,3
Gilbert_271.txt,0,0,0
Goldberg_211.txt,0,0,0
Goldberg_355.txt,0,0,1
Goldberg_89.txt,0,0,0
Goldstein_303.txt,0,0,0
Goreham_94.txt,1,0,0
Gorin_280.txt,0,0,0
Gottfried_402.txt,0,0,0
Gottlieb_210.txt,0,0,0
Grady_382.txt,0,0,0
Greenspun_443.txt,1,0,2
Gurda_423.txt,1,0,0
Haight-Kinnucan_176.txt,0,0,0
Halperen_447.txt,0,0,0
Hampton_299.txt,0,0,0
Hampton_301.txt,0,0,0
Hansen_29.txt,3,0,1
Hansen_8.txt,0,0,1
Happer_118.txt,0,0,1
Harris-Leyland_125.txt,0,0,0
Harrison_290.txt,0,0,0
Harsanyi_377.txt,1,0,6
Hayes_428.txt,0,0,0
Hayes_430.txt,0,0,0
Hayward_80.txt,0,0,0
Hegyes_146.txt,0,0,0
Helfer_163.txt,0,0,0
Herbert_328.txt,0,0,1
Herbert_329.txt,0,0,0
Hickman_414.txt,1,0,0
Hiltzic_201.txt,0,0,0
Holt_418.txt,2,0,1
Horsey_48.txt,0,0,0
Horton_395.txt,0,0,1
Huff_229.txt,0,0,0
Hughes_435.txt,1,0,0
Hulett_174.txt,0,0,0
Hurst_154.txt,0,0,0
Jacobson_168.txt,0,0,0
Jenkins_313.txt,0,0,0
Jochnowitz_440.txt,0,1,0
Johnson_305.txt,0,0,0
Johnson_316.txt,0,0,0
Johnson_386.txt,2,0,0
Judson_253.txt,0,0,0
Keiser_135.txt,0,0,0
Keith_356.txt,1,0,0
Keller_265.txt,0,0,0
Kerie_175.txt,1,0,0
Kieft_254.txt,2,0,1
Kirk_340.txt,1,0,3
Klatt_289.txt,0,0,0
Klein_171.txt,0,0,0
Kleinman_158.txt,0,0,0
Kohlmayer_276.txt,0,0,0
Kohlmayer_287.txt,1,0,0
Kollipara_198.txt,0,0,2
Krattenmaker_307.txt,0,0,0
Krauthammer_120.txt,1,0,0
Krauthammer_87.txt,0,0,0
Kremer_403.txt,0,0,0
Laibow_240.txt,0,0,0
Lamborg_103.txt,1,0,0
Landrith_136.txt,0,0,0
Lanza-Chopra_282.txt,0,0,0
Lawrence_378.txt,2,0,2
Lee_323.txt,3,0,1
Lee_407.txt,0,0,0
Leshner_264.txt,0,0,1
Levi_345.txt,0,0,1
Levi_380.txt,0,0,1
Levine_260.txt,0,0,0
Levinthal_270.txt,0,0,0
Lind_164.txt,0,0,0
Lind_218.txt,0,0,0
Lindee_258.txt,0,0,0
Linden_45.txt,0,0,0
Lindzen_104.txt,0,0,0
Lindzen_105.txt,0,0,0
Liptak_324.txt,0,0,0
Loeak_14.txt,0,0,1
Lovejoy_13.txt,1,0,0
Lowry_209.txt,0,0,1
Lowry_63.txt,0,0,0
Lowry_82.txt,1,1,0
Luckett_349.txt,0,0,0
Lusk-Miller_126.txt,0,0,1
Luskin_314.txt,0,1,0
Lutzker_368.txt,1,0,3
Lutzker_370.txt,1,0,1
Lyday_376.txt,0,0,0
Lyman_333.txt,0,0,0
Lynas_334.txt,1,0,0
Lynas_352.txt,1,0,0
Lynn_441.txt,0,0,1
MacDonald_44.txt,2,0,4
Macmasters_247.txt,0,0,0
Maddox_446.txt,1,0,0
Malerba_183.txt,0,0,0
Maness_173.txt,0,0,0
Marlow_132.txt,0,0,0
Martin_181.txt,0,0,0
Masciotra_272.txt,0,0,0
Matthews_308.txt,0,1,0
McDonnell_347.txt,0,0,0
McGovern_366.txt,1,0,3
McGovern_367.txt,0,0,1
McGovern_369.txt,2,0,4
McKibben_36.txt,1,0,1
McKibben_39.txt,0,0,0
McKibben_50.txt,1,0,1
Megan_231.txt,0,0,0
Mercola_225.txt,0,0,0
Merrell_293.txt,0,0,0
Merrell_294.txt,0,0,0
Metcalf_53.txt,1,0,2
Miller_128.txt,0,0,0
Miller_129.txt,0,0,0
Miller_131.txt,0,0,0
Miller_372.txt,0,0,1
Miner_258.txt,0,0,0
Minnis_396.txt,0,0,0
Moench_178.txt,1,0,0
Moench_421.txt,0,0,0
Molina-Litterman_20.txt,1,0,0
Moore_351.txt,3,0,2
Morrison_381.txt,5,0,0
Muller_17.txt,0,0,1
Muller_2.txt,2,0,0
Muller_6.txt,0,0,2
Naidoo_320.txt,3,0,0
Newell_22.txt,2,0,0
Newton_252.txt,0,0,0
NoName_235.txt,2,0,0
NoName_238.txt,1,0,0
NoName_267.txt,0,0,0
Noonan_72.txt,0,0,1
Nordhaus-Shellenburger_336.txt,0,0,0
Nugent_392.txt,0,0,0
O'Shea_226.txt,1,0,0
Odell_203.txt,0,0,0
Ohlemiller_261.txt,0,0,0
Olmstead_255.txt,0,0,0
Paarlberg_127.txt,0,0,0
Pacenza_405.txt,1,0,0
Padberg_427.txt,0,0,0
Page_64.txt,1,0,1
Para_65.txt,0,0,0
Parikh_206.txt,0,0,0
Patterson_81.txt,1,0,0
Paul_318.txt,0,0,0
Pescatello_140.txt,2,0,0
Phillips_227.txt,1,0,0
Planes_139.txt,4,0,2
Poblete_54.txt,0,0,1
Pope_219.txt,0,0,1
